bus	Pg	Qg	Qmax	Qmin	Vg	mBase	status	Pmax	Pmin	Pc1	Pc2	Qc1min	Qc1max	Qc2min	Qc2max	ramp_agc	ramp_10	ramp_30	ramp_q	apf
222	250	0	300	-300	1.05	100	1	350	140	6	6	0	24	87.5	87.5	1	0	0	0	0
227	303	0	300	-300	1	100	1	403	161.2	8	8	0	24	100.75	100.75	1	0	0	0	0
230	345	0	250	-250	1.04	100	1	445	178	8	8	0	24	111.25	111.25	1	0	0	0	0
233	300	0	500	-500	1	100	1	400	160	8	8	0	24	100	100	1	0	0	0	0
236	600	0	300	-300	1.0165	100	1	700	280	12	12	0	24	175	175	1	0	0	0	0
238	250	0	200	-200	1.01	100	1	350	140	6	6	0	24	87.5	87.5	1	0	0	0	0
239	550	0	400	-400	1	100	1	650	260	10	10	0	24	162.5	162.5	1	0	0	0	0
241	575.43	0	600	-600	1.05	100	1	675.43	270.172	11	11	0	24	168.8575	168.8575	1	0	0	0	0
242	170	0	100	40	0.993	100	1	270	108	4	4	0	24	67.5	67.5	1	0	0	0	0
243	84	0	80	40	1.01	100	1	184	73.6	33	33	0	24	46	46	1	0	0	0	0
7001	467	0	210	-210	1.0507	100	1	567	226.8	9	9	0	24	141.75	141.75	1	0	0	0	0
7002	623	0	280	-280	1.0507	100	1	723	289.2	12	12	0	24	180.75	180.75	1	0	0	0	0
7003	1210	0	420	-420	1.0323	100	1	1310	524	16	16	0	24	327.5	327.5	1	0	0	0	0
7011	234	0	100	-100	1.0145	100	1	334	133.6	6	6	0	24	83.5	83.5	1	0	0	0	0
7012	372	0	224	-224	1.0507	100	1	472	188.8	8	8	0	24	118	118	1	0	0	0	0
7017	330	0	350	0	1.0507	100	1	430	172	8	8	0	24	107.5	107.5	1	0	0	0	0
7023	185	0	120	0	1.0507	100	1	285	114	4	4	0	24	71.25	71.25	1	0	0	0	0
7024	410	0	224	-224	1.029	100	1	510	204	8	8	0	24	127.5	127.5	1	0	0	0	0
7039	500	0	200	-200	1.05	100	1	600	240	10	10	0	24	150	150	1	0	0	0	0
7044	37	0	42	0	1.0145	100	1	137	54.8	2	2	0	24	34.25	34.25	1	0	0	0	0
7049	0	0	10	0	1.0507	100	1	2399.005	959.602	24	24	0	24	599.75125	599.75125	1	0	0	0	0
7055	45	0	25	0	0.9967	100	1	145	58	2	2	0	24	36.25	36.25	1	0	0	0	0
7057	165	0	90	-90	1.0212	100	1	265	106	4	4	0	24	66.25	66.25	1	0	0	0	0
7061	400	0	150	-150	1.0145	100	1	500	200	8	8	0	24	125	125	1	0	0	0	0
7062	400	0	150	0	1.0017	100	1	500	200	8	8	0	24	125	125	1	0	0	0	0
7071	116	0	87	0	0.9893	100	1	216	86.4	4	4	0	24	54	54	1	0	0	0	0
7130	1292	0	600	-100	1.0507	100	1	1392	556.8	12	12	0	24	348	348	1	0	0	0	0
7139	700	0	325	-125	1.0507	100	1	800	320	9	9	0	24	200	200	1	0	0	0	0
7166	553	0	300	-200	1.0145	100	1	653	261.2	9	9	0	24	163.25	163.25	1	0	0	0	0
9002	0	0	2	-2	0.9945	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
9051	0	0	17.35	-17.35	1	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
9053	0	0	12.83	-12.8	1	100	1	100	40	2	2	0	24	25	25	1	0	0	0	0
9054	50	0	38	-38	1	100	1	150	60	2	2	0	24	37.5	37.5	1	0	0	0	0
9055	8	0	6	-6	1	100	1	108	43.2	2	2	0	24	27	27	1	0	0	0	0
